id,What is your gender?,How old are you?,How would you describe your VISUAL imagery vividness on a scale from 0-10?,How long did you view the Ganzflicker?,Did you view the Ganzflicker with the lights in the room turned off?,Did you view the Ganzflicker on a computer or mobile phone?,How did you find the experience emotionally?,"Did you see anything in the Ganzflicker? If not, confirm by answering ""no"" and then skip to the next section.",Please describe as much as you can remember about what you saw in the Ganzflicker:,About how long did it take before images started to emerge?,About how frequently did you experience images?,"If you saw images, how intense were they?","If you saw images, how long did a single image last?",How did your normal state of consciousness change during the experience?,"If you felt a change in your state of consciousness, please describe how you felt in more detail:","If you saw images, where did they tend to appear on the screen?",screen_the_of_to,red_colors_blue_black,shapes_geometric_patterns_and,flashing_light_flashes_of,it_was_felt_me,lines_patterns_and_vertical,my_eyes_closed_vision,face_faces_saw_and,spinning_spirals_rotating_clockwise,stars_galaxies_galaxy_star,tunnel_through_going_train,dots_spots_some_dark,minutes_for_this_seconds,fractals_fractal_kaleidoscope_patterns,images_were_these_no,noise_white_the_music,forest_trees_tree_the,water_clouds_ocean_surface,space_through_flying_like,spider_web_spiderwebs_webs,eye_an_one_eyes,city_buildings_building_cityscape,nothing_much_not_else,hallway_door_corridor_room,fire_fireworks_flames_explosions,flowers_flower_blooming_lotus,butterfly_wings_butterflies_shadows,trippy_good_hhh_lol,vividness_bin
74,Male,56,0,Less than 10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","42"" 4K monitor from about 24""... All shapes in circular pattern mostly circular, but some triangular ones with faint edges on all of them... in circular patterns alternating between circular and somewhat orthogonal grid... in concentric bands (like a pebble ripple in water I guess)...
I did not see the rhythm to be consistent... almost as having a start / stop effect and repeating that pattern.... also the red turned into an orange like color after a minute or 2.
The black ended up shifting between a greenish black and deep blue.
It gave in a headache nearly instantly after starting it... I have tinitus, so the white noise did not do anything... concentrating in the image made the sound fade away and the tinitus came in at a higher than normal volume in my head.
Weird experience to say the least.",They began to emerge immediately,Constantly,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now, Blazing headache nearly instantaneously. I don't think I lasted more than 4 minutes.",,All over the screen,0.999996393,0.764058512,0.012551426,0.011755382,0.909055254,0.008789719,0.016476595,0.003312123,0.007888099,0.003549148,0.002950482,0.004938468,0.036256856,0.007916187,0.003879543,0.999999999,0.003045664,0.003544507,0.003354369,0.0030668,0.003523259,0.00326468,0.004012941,0.003092079,0.004187103,0.003901652,0.003401947,0.003412002,0-3
79,Male,27,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black",5-7 minutes,Infrequently,"Weak, faint, or insubstantial","Constant, morphing from one image to the next",In the center,As if in a dreamlike state,,,0.041010546,0,0,0.025910893,0.026932499,0,0.037789795,0.01725638,0,0,0,0,0.043077436,0,0,0.020265226,0,0,0,0,0.017553868,0,0.027863524,0,0,0,0.01343059,0.022175762,0-3
83,,,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","I saw purple dots that were circling around like stars in a galaxy, also with spiral arms etc. They were going quite fast, I wanted them to slow down (to imitate a galaxy) but they didn't. Then in the next few seconds the purple dots would form other shapes like waves or pillars that were turning as well.",5-7 minutes,"Infrequently, Frequently","Clear, but not vivid",Persisting several seconds,"Became relaxed or sleepy, Felt transported to another place, Lost a sense of time",I would drift away once in a while and the screen would take up more space. The 10 minutes felt like about 5 minutes,All over the screen,0.048444362,0.023072042,0.07859146,0.043342858,0.020914349,0.026962814,0.048655468,0.024401297,0.085649983,0.070339609,0.024935113,0.881740792,0.022172932,0.01330911,0.026452343,0.019064661,0.024855177,0.03139429,0.027758381,0.004365764,0.024692244,0.025760859,0.019970346,0.025655029,0.023880203,0.008078245,0.023348164,0.017898183,0-3
107,Male,,0,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","a bunch of pulsating black hexagons just blinking on and off with the screen. To clarify, I only saw them on the screen. no other hallucinations occurred.  ",A few seconds,Constantly,"it was a flashing overlay, as if the image was being shown on the screen",Brief moment or flash,"No change, fully alert in the here and now",,All over the screen,0.048838971,0.026331831,0.044375859,0.043182215,0.457685131,0.031410349,0.043222031,0.02116437,0.030280257,0.01421559,0.015507462,0.01441833,0.330945778,0.009944887,0.029650749,0.017050518,0.015072995,0.016241882,0.01653065,0.004890079,0.02192213,0.016737434,0.022930176,0.017732745,0.01493771,0.015583174,0.014930635,0.017562341,0-3
130,Male,38,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)",a cross in the centre of the screen a few times over the whole ten minutes,1-2 minutes,1 or 2 times in the whole experience,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now",,In the center,0.068104797,1.09E-15,0.075193219,0.051771606,0.022119047,0.024791561,0.060227354,0.024218407,0.052886109,0.023325021,0.022234469,1.47E-15,0.023240854,8.77E-23,0.027846734,0.02062732,0.021166073,0.023003744,0.023708619,4.88E-24,0.02637447,0.022448493,0.020650309,0.024001469,0.024373858,3.93E-22,0.022812906,0.018653844,0-3
134,Male,57,0,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","a crosshatch pattern, that was probably caused by the way my monitor refreshes the screen.",They began to emerge immediately,Constantly,"Weak, faint, or insubstantial",same pattern the entire time,"No change, fully alert in the here and now",,All over the screen,0.946068739,5.33E-14,1.25E-12,2.48E-11,2.15E-11,4.66E-13,5.80E-11,1.92E-12,1.25E-12,5.62E-13,5.22E-13,5.43E-14,2.24E-11,6.13E-15,1.55E-12,1.97E-12,5.08E-13,5.51E-13,5.62E-13,1.29E-15,4.76E-12,5.36E-13,2.01E-11,5.61E-13,6.00E-13,5.87E-15,1.85E-12,1.82E-11,0-3
154,Female,43,0,10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","Geometric moving spinning balls in spiral rotating patterns, sometimes like DNA, really beautiful. Multiple colors. Sometimes the entire screen went gray.",A few seconds,Constantly,"Clear, vivid, and/or bright, Very vivid, almost real, or popping out of the screen","Constant, morphing from one image to the next","Became relaxed or sleepy, Lost a sense of time, Lost a sense of space",Felt like a deep meditative state.,All over the screen,0.999999998,0.771344179,0.041863233,0.031984032,0.008624251,0.019266961,0.020169073,0.010742349,0.363968775,0.017102624,0.011914972,0.007675121,0.008815948,0.006259522,0.010588503,0.008180992,0.01117069,0.012702013,0.013044577,0.002012722,0.01039089,0.011988971,0.008265131,0.011705416,0.01333447,0.003726199,0.011877255,0.007634915,0-3
159,Female,30,0,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), stars with just its outline moving in circular motion, or moving in accordance to where I would take my sight","I initial just saw a grid like image (something similar to a street in a map in bird's eye view). Then as every blink progressed, it multiplied until I eventually saw stars with just its outline.  There was no clear transition or whatsoever. Then it eventually had different formations, changing in time with the blinks while it was moving in accordance to where my eyes would go. It was something similar to the Paramount (I'm not sure if this is correct) logo's formation and movement of stars, actually, although it was just the outline of the stars. The outline was black while it was filled-in with the red background.",A few seconds,Frequently,"Clear, but not vivid, Clear and moderately vivid",Brief moment or flash,"No change, fully alert in the here and now, I actually felt a little anxious because I was thinking that it might be some sort of subconscious trigger or mind control(?), that's why I decided to stop after 2 minutes or so. so sorry..","I actually felt a little anxious because I was thinking that it might be some sort of subconscious trigger or mind control(?), that's why I decided to stop after 2 minutes or so. so sorry..",In the center,0.980810028,0.045941798,0.044167797,0.050182046,0.013393714,0.033218849,0.05003567,0.015382666,0.032653283,0.763751715,0.021199018,0.028352293,0.013051066,0.014081266,0.01484768,0.012027351,0.026143523,0.035512795,0.027918461,0.004694066,0.016848211,0.026096808,0.011336718,0.021463643,0.023051825,0.009448368,0.014869341,0.010445027,0-3
160,,,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","Faint lines, sort-of circle-like sometimes, light movement of texture with the flashing, not any change in color other than deeper or lighter red. noticeably lighter and darker areas that caused the texture, slight movement with each flicker, no clear-cut images or shapes exactly, more like clouds and sometimes looks like ""light"" with lines or a circle",A few seconds,Constantly,"Weak, faint, or insubstantial","they weren't really ""images"" but more like texture... texture that kind of morphed a bit with each flash. negative and positive space, shaded areas of darker red and lighter red ","No change, fully alert in the here and now",,"All over the screen, they weren't images, just texture variation",0.043854992,0.038454016,0.052542217,0.455828867,0.015814578,0.036994329,0.044639407,0.016990042,0.034510528,0.017118379,0.015236978,0.023748253,0.015926526,0.005508927,0.019719154,0.015252996,0.016034021,0.018072314,0.017136465,0.001874648,0.019446527,0.016352246,0.014324734,0.016244119,0.02126191,0.018121767,0.01651023,0.012954277,0-3
161,,,0,Less than 10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","Mostly lines, occasionally circles. Some of the circles seemed like they had some depth, like shading a 2d image to make an illusion. Some patterns that looked like starbursts or concentric rings, kind of like a hot-air balloon viewed from the top. Sometimes there were squiggly lines, they seemed to move back and forth with the change of color.",A few seconds,Frequently,"Weak, faint, or insubstantial, Not quite sure how to answer this. They were mostly lines or x-shapes, a lighter-seeming straight line with a sort of fuzziness of red around it, then a fuzzy black border","Brief moment or flash, 1-2 seconds, Constant, morphing from one image to the next",Became relaxed or sleepy,Felt my eyes unfocus and the edge of the flicker seemed to grow outwards a bit.,"All over the screen, Appeared in the center of my vision, wherever on the image I looked. ",0.031852418,0.030427187,0.069539406,0.056462056,0.012366415,0.968442788,0.029922315,0.015146933,0.039031298,0.01988125,0.013425741,0.033703458,0.013011092,0.008775313,0.016050248,0.011515562,0.013429535,0.014916646,0.014594464,0.002530553,0.015610694,0.014492868,0.012150096,0.013982339,0.017579827,0.006514696,0.016378721,0.011134183,0-3
184,Female,30,0,Longer than 10min.,Yes,iPad Pro 13 inch,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), They were fuzzy and very brief","A large black square in the center that was fuzzy and lasted a second or two, what seemed like a ping pong effect but no particular shape (more like light moving across the screen horizontally) that lasted about 5 seconds and re-occurred, and a bright green dot at the top right above the ganzflicker in my periphery. A few times it seemed like shapes were forming but they were gone very quickly.",1-2 minutes,Infrequently,"Weak, faint, or insubstantial",1-2 seconds,Became relaxed or sleepy,Shifted between alertness and dreaminess. The longer it went the less alert I was. Not what I would consider dreamlike (as my dreams have images) but a general relaxation. ,In the periphery,0.999999997,1.29E-16,0.523930698,2.26E-15,9.74E-16,0.218583506,2.68E-15,4.33E-16,5.69E-16,2.77E-16,2.52E-16,1.05E-16,9.81E-16,3.44E-17,4.28E-16,4.23E-16,2.53E-16,2.80E-16,2.78E-16,9.11E-18,6.58E-16,2.59E-16,8.79E-16,2.68E-16,3.18E-16,2.68E-17,4.23E-16,7.99E-16,0-3
199,Female,34,0,10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","a lot of patterns. my brain attempted to make a butterfly but only in a geometric sense, not anything realistic. also it looked like the screen was bulging and wavy. ",They began to emerge immediately,Constantly,,,"No change, fully alert in the here and now",I was annoyed and just wanted to stop. It was boring and made me a smidge motion sick. ,,0.988581979,4.89E-74,1.08E-72,2.26E-71,2.31E-71,0.999999997,7.00E-71,1.90E-72,1.12E-72,5.28E-73,5.26E-73,4.46E-74,2.36E-71,5.58E-75,1.54E-72,2.13E-72,5.03E-73,5.46E-73,5.60E-73,1.15E-75,4.83E-72,5.26E-73,2.06E-71,5.78E-73,5.65E-73,5.47E-75,0.999999997,1.85E-71,0-3
201,Female,47,0,10min.,Yes,Mobile phone,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black",A lot of red that varied in color and intensity with what appeared to be stars in a galaxy that were blue and white,1-2 minutes,Frequently,Clear and moderately vivid,Persisting several seconds,"Became relaxed or sleepy, Lost a sense of time",,All over the screen,0.003238275,0.002106629,0.005359088,0.005178374,0.001413,0.002880216,0.003291123,0.001759075,0.00437669,0.718401168,0.00272804,0.0013862,0.00137684,0.001706837,0.001693574,0.001369385,0.003397887,0.004398035,0.003423368,0.000573889,0.001669387,0.003391765,0.001295926,0.002724951,0.00295984,0.001099458,0.001915582,0.001196702,0-3
209,Female,40,0,Less than 10min.,Yes,Mobile phone,No feeling about it one way or the other,I perceived random things. Big blobby things. ,"A man running, a castle - maybe I read about it before hand, could be suggested rather than real",1-2 minutes,Not sure. More like the way you see a shape after staring into a light then closing your eyes.,"Weak, faint, or insubstantial","Brief moment or flash, Constant, morphing from one image to the next","No change, fully alert in the here and now",,"In the center, In the periphery",3.71E-11,2.80E-12,4.09E-11,3.44E-11,1.91E-11,1.54E-11,3.80E-11,2.54E-11,5.52E-11,1.48E-08,1.66E-09,2.26E-12,1.73E-11,5.54E-13,2.23E-11,1.72E-11,0.218851045,0.168434716,1.77E-09,1.21E-13,2.16E-11,0.34407677,1.73E-11,1.97E-09,2.32E-11,6.32E-13,2.31E-11,1.57E-11,0-3
214,Male,37,0,10min.,No,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)",a moving dot about 2 cms in diameter,5-7 minutes,Constantly,"Weak, faint, or insubstantial","Constant, morphing from one image to the next",Became relaxed or sleepy,,All over the screen,0.052090643,0.031717644,0.11788374,0.092483704,0.020109991,0.078379524,0.048649074,0.024766194,0.068739765,0.027512705,0.02222133,0.039884472,0.021026922,4.99E-10,0.025804754,0.01875773,0.022121266,0.024754094,0.024332137,5.46E-12,0.025535405,0.023841535,0.019654513,0.022938477,0.028481252,2.70E-08,0.027464256,0.01803607,0-3
217,Male,13,0,Less than 10min.,No,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black",a pattern chifting and turning aroudn,A few seconds,Constantly,Clear and moderately vivid,"Constant, morphing from one image to the next","No change, fully alert in the here and now",,,0.045073366,7.44E-33,0.136608426,0.043377607,0.018190758,0.053401813,0.041443899,0.022404476,0.058593117,0.023879002,0.020322596,1.08E-32,0.019345374,8.99E-40,0.024969169,0.017020472,0.019800671,0.021709718,0.021945118,3.70E-41,0.022003744,0.022334524,0.018293851,0.02094658,0.023383407,3.19E-39,0.023485816,0.0167351,0-3
223,Female,56,0,Didn't time it,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)",a potato that turned into an old man's face and then some alien scenery that was pulsing,They began to emerge immediately,Constantly,"Weak, faint, or insubstantial",Persisting several seconds,"No change, fully alert in the here and now",,All over the screen,0.008403565,0.00706316,0.013219814,0.011768794,0.003752596,0.00812618,0.009125833,0.005503996,0.008608516,0.004930944,0.004373668,0.004199529,0.003583799,0.008647302,0.005055944,0.00337119,0.004940094,0.005779496,0.005205054,0.003917806,0.00537885,0.005524137,0.003378141,0.00498888,0.005283699,0.005835519,0.005553405,0.003029053,0-3
252,Male,57,0,10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","A slowly morphing pattern of dark and light shapes overlayed on the flicker.  Light green speckles were scattered in the darker areas, and were also relatively stable in position.  The shapes occasionally grouped to form a tunnel into the center of the screen, with spikes on the diagonals and concentric circles around the center.  Neither changing my gaze nor moving my head changed the location of the center of the effect.  At one point, a red speckle similar to laser speckle extended out a short distance from the edges of the screen.",A few seconds,Frequently,"Very vivid, almost real, or popping out of the screen","Persisting several seconds, Constant, morphing from one image to the next","No change, fully alert in the here and now, Lost a sense of time",The white noise track seemed to end earlier than I expected.,In the center,0.999999997,0.063044863,0.091395929,0.108063923,0.024480007,0.061476543,0.999999997,0.027737648,0.053677263,0.026758869,0.023748959,0.045498293,0.024716787,2.60E-13,0.029500246,0.023432378,0.026757418,0.028897278,0.025834505,8.53E-14,0.029445428,0.026677373,0.023581411,0.025021199,0.03450625,0.020659446,0.029438595,0.021917449,0-3
255,Male,36,0,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Distortions (e.g., screen warping or rotating)","A sort of a merging of the red and the black screens. Some parts showed mostly red, some mostly black, with a averaged/""greyish""/""merged"" color on the border between the regions.","Never. Only the mix of the two colors as answered above. The color merges began after about a minute ... after my brain ""settled in"".",,,"I did not see images. However, the color distortions seemed to clear up/""reset"" upon blinking.",Very slight change,"As if the brain somewhat tried to synchronized with the frequency of the flickering. I noticed that in the first minute (roughly) perception varied more as if still settling in with the new ""artifact to be observed"".",,0.999999998,0.848350927,9.04E-05,0.000105681,2.56E-05,6.72E-05,6.13E-05,2.85E-05,5.34E-05,2.64E-05,2.40E-05,5.31E-05,2.60E-05,2.95E-05,3.10E-05,2.44E-05,2.68E-05,2.87E-05,2.60E-05,9.94E-06,3.06E-05,2.70E-05,2.48E-05,2.54E-05,3.30E-05,2.01E-05,2.90E-05,2.30E-05,0-3
